,Team,Win,Loss,Tie,Win_Loss,Points_For,Points_Allowed,Point_Differential,Margin_of_Victory,Strength_of_Schedule,SRS,Off_SRS,Def_SRS,Year,C,CB,DE,DT,FB,FS,G,ILB,K,LB,LS,LT,OL,OLB,P,QB,RB,RT,S,SS,T,TE,WR,KR,WLB,O_Line
0,Buffalo Bills,5,2,0,0.714,199,136,63,9.0,-3.2,5.8,4.4,1.4,2024,0.036473658665825755,0.10521750449986474,0.10002999510367976,0.08010148805080307,0.008771052223294284,0.007858189879555912,0.04192033116423849,0.015237030176458916,0.01795596387478526,0.0,0.004764027614480772,0.055517753951423006,0.0,0.08022127436823208,0.008116339275289205,0.13083760811332015,0.021550162407371242,0.011131385284656976,0.03442360623185733,0.014578513864552129,0.0020381394181110193,0.04722494330600861,0.1760310325261913,0.0,0.0,0.14708126848425523
1,Miami Dolphins,2,4,0,0.333,70,129,-59,-9.8,-4.6,-14.4,-14.2,-0.2,2024,0.03180904326885921,0.16010080798803783,0.08145992204451172,0.015942705578475044,0.013278789496385873,0.01820340464174808,0.02534474187532916,0.06904921325993446,0.019118487177464196,0.0010252583067132846,0.007010793581314854,0.05125516866805388,0.0,0.13973035580957668,0.007106061471708095,0.05870568109081327,0.0349842903223287,0.032230193017132605,0.03168413355667324,0.0,0.0012691340939975473,0.028728054408690265,0.17196376034225203,0.0,0.0,0.14190828092337238
2,New York Jets,2,5,0,0.286,128,145,-17,-2.4,2.2,-0.2,-2.2,1.9,2024,0.01637723043020642,0.13459000803974425,0.10404590135580667,0.12159201323190408,0.0004268149189905167,0.003843080181711596,0.08769797811864385,0.03356788031186555,0.007331958224437494,0.00014905956456595879,0.00538549321552285,0.0441854793415591,0.0,0.06018138963300722,0.007971307647524796,0.1136995515381202,0.023333184017131546,0.025705892343951736,0.018742539050464056,0.012831861091137476,0.0016862581966429052,0.05898002024789911,0.11767509929916263,0.0,0.0,0.175652838431004
3,New England Patriots,1,6,0,0.143,99,175,-76,-10.9,-3.2,-14.0,-10.7,-3.4,2024,0.04007384635833258,0.10224787127518317,0.042340993075075876,0.09607558067213616,0.0,0.031963484741962846,0.04359525535979505,0.05438200013836782,0.005729357830119195,0.005058633037604937,0.007064295733992157,0.0368202037433643,0.0,0.08795559215173247,0.004151960398940634,0.07738029745272984,0.04485863832483043,0.05923981379447516,0.049595066456141056,0.03245023831671355,0.0009380282222751329,0.04268318300147484,0.1353956599147528,0.0,0.0,0.18066714747824222
4,Pittsburgh Steelers,5,2,0,0.714,161,101,60,8.6,-0.3,8.3,1.6,6.7,2024,0.03757128780359347,0.06764986115006795,0.12851257042973185,0.01703138732175462,0.00022971230085879775,0.01947924800672276,0.0995243147006553,0.07605364571687537,0.01914708597357525,4.053722640316194e-05,0.004715829320326959,0.028516909129073783,0.0,0.16336471026809932,0.012298147262687506,0.05652193443174164,0.035198737177837135,0.015317870654247688,0.010674797547869123,0.0975528353392092,0.016208137059346008,0.02806853092155105,0.06622056719176414,0.0,0.00010134306600790485,0.19713851934691626
5,Baltimore Ravens,5,2,0,0.714,218,180,38,5.4,2.4,7.8,7.9,-0.1,2024,0.018653654042564517,0.1300637614812161,0.00896305812836131,0.07141934340302375,0.020639227834878617,0.0060055949083060965,0.036519169842932395,0.05866478905612131,0.01634522747543976,2.6704878692267774e-06,0.005832097275135072,0.09369632499550701,0.0,0.06336915571937467,0.0046421607111931185,0.13642588453684867,0.048769750680049545,0.015282925818219066,0.1188591030421397,0.0,6.673016689115848e-05,0.07768937666633238,0.06808999372759653,0.0,0.0,0.16421880486611415
6,Cincinnati Bengals,3,4,0,0.429,178,166,12,1.7,-3.6,-1.9,2.2,-4.1,2024,0.03274854252413158,0.06602754510770328,0.14540294911200868,0.10917952435483588,0.0,0.0,0.04887379649526074,0.03227463589927843,0.009327115282485303,8.452391992799827e-05,0.003842528320906369,0.07334889571607128,0.0,0.049228764190188894,0.003963172007050888,0.12067775396160087,0.03533170071781979,0.035978236340903136,0.0412179001572031,0.007802087961231207,0.0,0.04140648442531402,0.14328384350607856,0.0,0.0,0.19094947107636673
7,Cleveland Browns,1,6,0,0.143,109,162,-53,-7.6,-3.4,-10.9,-9.5,-1.4,2024,0.0274153800284279,0.09023059850580292,0.15073861682110765,0.06238095917480747,0.0008195197177976615,0.015398371371556295,0.11403498719953409,0.01159060317479747,0.012075025195096836,0.00036285057613307615,0.007964388450222043,0.021183686805850963,0.0,0.03676516206700412,0.006358339130036129,0.1293361054850944,0.047347924744317656,0.052602663737568715,0.017189542972512517,0.05097251580341283,0.0,0.056077039289050355,0.08915571974986893,0.0,0.0,0.21523671777138165
8,Houston Texans,5,2,0,0.714,165,159,6,0.9,-0.4,0.4,0.7,-0.3,2024,0.01559953300454848,0.10793766318458953,0.11882672665416753,0.11750813073215167,0.008679837489305552,0.0,0.04621626534526159,0.028898201456403178,0.017342798666534723,0.0012233684128880244,0.004560363345376663,0.10946232817584663,0.0,0.0304831146839264,0.008804172185217419,0.06058802191543246,0.03897527492076235,0.037693241044135885,0.051526641280604475,0.00966330111324187,0.0005433262394391927,0.05935662093196646,0.12611106921819992,0.0,0.0,0.20951469380923177
9,Indianapolis Colts,4,3,0,0.571,155,149,6,0.9,-2.4,-1.5,-0.5,-1.1,2024,0.0676297906348471,0.056109209739831904,0.10102085476100967,0.10998469023352445,0.0,0.004052549090398667,0.12450661972469125,0.07135222146710829,0.02413555724205003,0.00029123355700860526,0.005744330848583524,0.010168421651462742,0.0,0.03223118330246907,0.010042536448572595,0.0564601803206512,0.053070157444837764,0.07151077303255834,0.019732555765712815,0.015626186713978956,0.0009151522444709439,0.051929582393213,0.11348621338301909,0.0,0.0,0.2747307572880303
