C,CB,DE,DT,FS,G,ILB,K,LB,LS,LT,OLB,P,QB,RB,RT,S,SS,T,TE,WR,OL,FB,WLB,KR,Team,Year
6814547,11011458,13779448,6571196,17866168,7584816,8181012,2750000,6064350,1526892,15054167,12629631,897779,21446542,12900212,5100446,1996442,5267750,1630549,16219911,42830460,0,0,0,0,arizona-cardinals,2023
1483716,12117772,25115831,13374732,15837500,15952183,14393148,3040000,12009666,752166,6638913,2152343,3300000,14477288,6701220,1225381,1276035,11496666,1440497,18108944,31483977,0,2600000,0,0,seattle-seahawks,2023
3266333,25067882,5694575,31510202,0,7542107,9676898,933547,2079000,905887,2000000,20576156,797001,21972717,4629142,10649961,2844507,3725678,7705333,9948681,45648951,0,0,0,0,los-angeles-rams,2023
7003667,13529015,29194051,15844302,8495000,3596402,12194666,976378,9006337,1255000,13616279,10041245,1800000,16054956,7357419,2537765,2863099,1981094,1344368,13485151,20619723,0,6716547,0,0,san-francisco-49ers,2023
5522500,21888844,14366580,13330046,6445995,11007198,1569856,2248111,3346720,1157854,6265466,38443828,2148666,9411259,23419011,14709582,3531083,5030576,2041431,8306669,37640667,0,940000,0,0,carolina-panthers,2023
4999828,16884642,10869799,32340116,9500000,17597850,21200791,4762000,471999,870000,21233823,13253347,2671978,9948855,11703861,6494165,2147360,2255009,2073344,18067928,12127735,0,1165000,0,0,atlanta-falcons,2023
4733333,18883071,39798966,14892202,7591060,16237448,9053131,3250400,3155041,1545000,9975390,3153729,1355000,12933329,13356874,12149568,2530547,6147444,1454713,13044275,24831368,0,453776,0,0,new-orleans-saints,2023
7264495,14236969,12952045,12723875,2124979,8395700,20393000,1740000,3632515,1243000,11663132,16905311,1040080,39039547,9577813,2274315,2739192,1092500,2979991,7623564,44038736,0,0,0,0,tampa-bay-buccaneers,2023
417119,10583758,42440870,13830901,17202700,30891473,19502778,5120666,6332724,1113100,813221,2072574,889252,9907119,7827723,9426492,2126609,1995324,728405,12498689,29574214,0,2216333,0,0,chicago-bears,2023
2280460,11133221,14814822,18560486,1119453,8851240,6930000,2011666,3281012,1296666,3639856,27884309,871666,24428495,11523713,10749690,4632307,11827636,4284953,9938832,29960728,0,2716666,0,0,minnesota-vikings,2023
1527189,24007177,5441857,18112073,8000000,11072946,9599324,1794194,2222445,1280000,20994925,24684929,1225000,45769884,11421147,1866085,4483589,3454200,4512637,6831306,9442975,0,301834,0,0,green-bay-packers,2023
16450000,19671709,19761589,9838565,6321667,12286160,2494112,1570930,5155044,1616200,19350000,11142840,1965000,36165426,9193203,6572473,8930330,1146568,3700876,4919628,22711217,0,2445215,0,0,detroit-lions,2023
5956879,33674282,21803256,33527162,6092254,10585219,0,2350000,6712095,953008,10850000,5737616,3500000,9761011,7860567,4166666,5181510,3020332,920667,12579492,33122594,0,803642,0,0,washington-commanders,2023
1708788,28866557,31714784,12725638,940000,15236879,2647536,5322650,6320588,1102500,0,9297203,1600000,23447511,13951809,6882155,1944233,2669879,11055443,6456892,39245316,0,301670,0,0,new-york-giants,2023
12345869,30581823,20674783,44120940,3594522,23606454,3681582,3382000,1696579,1215000,7471000,11578612,1166744,8896250,5451806,15341500,3355984,0,1817535,9453618,22664511,0,0,0,0,philadelphia-eagles,2023
3787595,30054417,32330637,7426213,4570576,15500758,0,753334,5811769,1232500,8005000,5197258,3000000,29897647,18236229,12492653,5604597,6220576,4939674,4685214,21598570,0,756666,0,0,dallas-cowboys,2023
14579066,24453607,3819053,22430365,2420302,6867164,8128390,1673334,3362585,1365000,5449916,35602797,1490000,10148900,10867459,3750000,2702513,10071533,1558332,12352181,34402984,1019445,0,0,0,los-angeles-chargers,2023
4690918,18643884,10385132,19104896,18150000,9711680,9601342,2931250,7494976,870000,17823529,17311722,1465000,25293666,7420273,6000000,3266192,2289167,4158667,6999623,37069696,0,1092500,0,0,denver-broncos,2023
7596500,10721127,37551785,14133339,4707500,5333684,10660333,4310333,5757834,1435000,17650000,2115609,2550000,14419345,22657946,7092185,3800750,2153184,3075774,7164395,36865202,0,1719944,0,0,las-vegas-raiders,2023
1888584,11017641,24764909,29510255,1328895,16678697,1657797,5128796,6212015,1320000,2700000,1976067,2627000,38483992,6394505,7032768,3975509,12700000,2945231,18085533,21193258,0,0,0,0,kansas-city-chiefs,2023
9866668,13041893,11990518,13952005,9803849,1969913,5516636,2915833,7003499,1092500,0,25283947,971946,39507689,19160104,2171110,3976061,9487515,12206269,6877268,23646386,0,1092500,0,0,tennessee-titans,2023
13248333,16561824,14654127,30394412,893846,16354238,19970000,3080000,6805021,1420000,0,4247500,2900000,30312744,11619700,20101092,3669971,2974609,2603798,9501403,12560702,0,0,0,0,indianapolis-colts,2023
1615349,24374971,8480436,17968058,1428136,17199638,13844405,2006667,2928412,1120000,20376028,24196124,2600000,12474931,6697085,3489731,3598251,6453279,1565038,7814203,38048711,0,0,0,0,jacksonville-jaguars,2023
5881230,22144665,10968510,18887054,8813451,13328318,7670630,4448976,4855523,1092500,26566704,10443430,3597433,10818320,7486979,15542129,1328747,4821906,1365985,6367376,37594769,0,2953908,0,0,houston-texans,2023
6565346,21952704,28941615,31337734,289800,13536287,1038424,1025928,12412200,876000,10354000,1214378,783334,21219730,11687261,16302470,1630872,2400000,460000,4940264,26873648,0,0,0,0,cincinnati-bengals,2023
7175499,21324765,36365589,4756353,1916667,18487317,4818342,5641666,6053324,940000,1114476,37692857,1112384,10305214,7002998,16156306,3469558,9475000,1640000,3762793,26253926,0,156333,583338,0,pittsburgh-steelers,2023
4431724,21354493,22925302,13521093,3356500,14195234,3464500,2780989,3471001,1338000,4439700,8225756,1941100,23932599,18686259,8917815,2871794,7595935,2841794,17106824,34497113,0,0,0,0,cleveland-browns,2023
4059899,22674942,12924983,10552624,0,8483052,18042958,5958333,8666,1340000,23668250,5743226,1044459,26024276,8116078,6694885,16048693,1221800,7009704,19359850,19619160,0,4139333,0,0,baltimore-ravens,2023
8889285,22617733,10890660,20504884,13097500,7607314,6664466,1555687,8190039,1506000,12213236,18155343,3272614,7976560,5374607,2685000,2225336,3647891,7813851,34569313,22394103,0,0,0,0,new-england-patriots,2023
3684927,23139581,17631354,12064274,6550403,13948786,21476000,2784400,10221810,1380000,11281882,2475444,2132886,20022501,10995085,12563046,1861748,9072500,2189213,15011650,20969991,0,1088300,0,0,new-york-jets,2023
9138954,31013319,18634765,16859147,5396220,10235408,13167466,2449000,7740568,1195112,11389568,15373371,1094167,13319648,9200230,5983808,2096999,1770000,3766675,6704222,34546958,0,2900000,0,0,miami-dolphins,2023
11739500,35885138,22478829,22601385,10783058,11844529,2071800,2076056,4763961,1082500,11985725,7437000,2177111,20179981,8915669,4054004,2755119,5222500,1116179,10965944,26473155,0,2028333,0,0,buffalo-bills,2023
12676798,11795968,24729416,3415583,0,14898566,15076629,4759943,1639752,1185522,13752438,12953351,1170667,16429425,7620490,3744821,20261263,0,1266501,8838375,28610156,0,0,0,0,arizona-cardinals,2022
2550086,33021697,12469514,32950398,1922010,7881727,4141584,2540000,825000,1004800,2833888,10247640,1903167,16649944,4836646,5886958,2941402,2894762,5375545,5781835,41611553,0,0,0,0,los-angeles-rams,2022
5346000,13949845,24074063,14347876,343754,12308776,8652415,5000000,1757568,2078174,8254588,10026765,4383059,31324221,12874311,1814805,2712333,17435000,823500,10307359,24627188,0,3354966,0,0,seattle-seahawks,2022
4660651,15501589,36764708,9772034,14897972,3960039,10179724,5520813,7435643,1120000,10597523,5829997,1706018,24397627,4996573,10880000,2633704,0,4864691,10698020,16706381,0,2958750,0,0,san-francisco-49ers,2022
3186255,13997231,9675707,17426748,1061729,6770502,17293937,3000000,955167,1200000,16589200,4032535,1529536,45998694,7005905,6462512,4393006,760000,252667,11942737,26516751,0,1666668,0,0,atlanta-falcons,2022
4572242,16543859,23391647,11185240,9988236,12358795,6466829,5570833,2050778,1260000,18933836,3649794,833833,21944240,11805352,9343766,1588691,3647500,2957888,10681419,27457267,0,595996,0,0,new-orleans-saints,2022
15615057,19297834,14629661,9418970,4096161,6338255,6760089,2884147,1438137,1080177,11522373,22051352,1791333,24446381,12101544,7976250,4978307,900000,2141566,5798310,26151480,0,831667,0,0,carolina-panthers,2022
